genename	1600322-1-LK524-KO--C76-1_S16	1600322-2-LK524-KO--C14-1_S9	1600322-3-LK524-KO--C34-1_S15	1600322-4-LK524-KO--C16-1_S13	1600322-6-LK524-KO--C89-1_S11	1600322-7-LK524-KO--C25-1_S5	LK1349_KO__C22_1_S5	LK1349_KO__C23_1_S4	LK1349_KO__C45_1_S9	LK1349_KO__C46_1_S11	LK1349_KO__C48_1_S12	LK1349_KO__C49_1_S15	LK1349_KO__C61_1_S1	LK1349_KO__C64_1_S3	LK1349_KO__C86_1_S8	LK1349_KO__C93_1_S10	LK524-KO-C01-1_S3	LK524-KO-C07-1_S14	LK524-KO-C13-1_S9	LK524-KO-C33-1_S1	LK524-KO-C67-1_S6	LK1349_KO__C34_1_S7	mutatedSamples	mutatedSamplesFrc
Stra6	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Fryl	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Mlc1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Smarcad1	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Acaca	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
App	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Kmt5b	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Tex14	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Xpo1	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Arhgap10	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Kntc1	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Cpeb4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Utp20	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Klhdc2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Rabep1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Sgce	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Greb1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0.0454545454545455
Herc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0	1	0.0454545454545455
Lig4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0.0454545454545455
Svopl	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.0454545454545455
Unc93b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	1	0.0454545454545455
Esco2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	1	0.0454545454545455
F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	1	0.0454545454545455
Kcnd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0454545454545455
Pnliprp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0454545454545455
Gas2l3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.0454545454545455
Kmt2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	1	0.0454545454545455
Mis18bp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.0454545454545455
Nrp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	1	0.0454545454545455
Ccna1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	1	0.0454545454545455
Exo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	1	0.0454545454545455
Gpatch8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1	0.0454545454545455
Mroh7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.0454545454545455
Phf10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.0454545454545455
Exd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1	0.0454545454545455
Pprc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1	0.0454545454545455
1700088E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1	0.0454545454545455
Gmip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1	0.0454545454545455
Mmp19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0.0454545454545455
Mylk2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.0454545454545455
Myo3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	1	0.0454545454545455
Nav3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	1	0.0454545454545455
Ttll5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1	0.0454545454545455
Cntnap4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	1	0.0454545454545455
Dgkb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1	0.0454545454545455
Gtf3c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0.0454545454545455
Raf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0.0454545454545455
