genes	s50_mNPC	s50_mESC
Psmc5	0.19	0.15
Prpsap1	0.13	0.13
Abca13	0.73	0.64
Usp34	0.28	0.16
Ntn1	0.2	0.18
Uqcrq	0.17	0.13
Col1a1	0.17	0.17
Cltc	0.17	0.13
Wdr92	0.54	0.46
Ints2	0.23	0.2
Rnf213	0.15	0.11
Hormad2	0.22	0.12
Rel	0.35	0.2
Abca8a	0.5	0.57
Psme4	0.5	0.18
Gabrg2	0.8	0.54
Mir7116	0.13	0.09
Zfp286	0.21	0.17
Ppp4r3b	0.59	0.25
Fnip1	0.26	0.22
Srsf5	0.19	0.19
Hectd1	0.21	0.14
Dld	0.35	0.34
Pole2	0.23	0.14
Lrfn5	0.9	0.86
Cdkl1	0.2	0.2
Npas3	0.31	0.68
Map4k5	0.21	0.22
Ppp4r3a	0.33	0.15
Agmo	0.8	0.88
Rhoj	0.35	0.32
Cfl2	0.18	0.14
Nin	0.22	0.28
Atg2b	0.23	0.18
Gskip	0.23	0.16
Rad51b	0.17	0.27
Syne2	0.23	0.23
Nrcam	0.59	0.67
Eif5	0.13	0.13
Numb	0.18	0.17
Ppp2r5c	0.19	0.11
Trip11	0.47	0.19
L2hgdh	0.2	0.19
Slc24a4	0.36	0.31
Matn3	0.2	0.23
Spata7	0.29	0.23
Prkd1	0.68	0.89
Serpina11	0.6	0.64
Cenph	0.24	0.13
Hexb	0.23	0.13
Rasgrf2	0.51	0.53
Bdp1	0.32	0.36
Fam120a	0.19	0.16
Pak1ip1	0.34	0.15
Gfm2	0.24	0.13
Naa35	0.22	0.18
Ero1b	0.46	0.27
Wnk2	0.16	0.17
Dsp	0.31	0.19
Adgrv1	0.35	0.48
Ripor2	0.32	0.36
Ddx46	0.18	0.12
Cdk13	0.41	0.31
Sema4d	0.24	0.17
Pde4d	0.53	0.41
Mboat1	0.42	0.38
Prl7a1	0.7	0.91
Gadd45g	0.23	0.18
Mtrex	0.32	0.21
Exoc2	0.51	0.52
Ssr1	0.29	0.17
Ofcc1	0.52	0.64
Erbin	0.24	0.25
Vps41	0.57	0.35
Gm5464	0.26	0.3
Camk2g	0.18	0.14
Pibf1	0.55	0.17
Slc15a1	0.22	0.17
Vwa8	0.29	0.25
Ppp3cb	0.19	0.15
Cog3	0.2	0.17
Txndc16	0.46	0.27
Kcnma1	0.38	0.67
Tmem260	0.21	0.28
Adamdec1	0.58	0.68
Nek10	0.75	0.62
Fbxo16	0.16	0.19
Msra	0.26	0.31
Epsti1	0.4	0.55
Psme2	0.19	0.13
Pcca	0.25	0.25
Ccdc66	0.38	0.19
Ift88	0.21	0.16
Rnf212b	0.18	0.18
Lmo7	0.57	0.32
Cacna2d3	0.38	0.78
Desi1	0.14	0.11
Ep300	0.14	0.11
Eef1d	0.17	0.12
Ubr5	0.29	0.18
Trio	0.27	0.37
Vps13b	0.5	0.31
Ccdc152	0.75	0.79
Pcbp2	0.13	0.1
Atp6v1c1	0.3	0.21
Atad2	0.19	0.15
Smgc	0.47	0.72
Adamts20	0.36	0.32
Arfgap3	0.18	0.12
Commd5	0.18	0.12
Nipbl	0.3	0.18
Nckap1l	0.19	0.19
Ptk2	0.2	0.15
Mei1	0.16	0.12
Cdh6	0.37	0.42
Lifr	0.39	0.29
Grik1	0.7	0.71
4933404G15Rik	0.34	0.25
Synj1	0.23	0.24
Gm10823	0.68	0.91
Ltn1	0.47	0.21
Pigx	0.21	0.12
Lca5l	0.23	0.2
Tmem45a2	0.56	0.38
Gspt1	0.21	0.13
Tomm70a	0.5	0.29
Parp14	0.27	0.14
Ttc3	0.17	0.16
Kcnj15	0.48	0.57
Tmem186	0.25	0.16
Kpna1	0.33	0.13
Mir99ahg	0.35	0.85
Zbtb20	0.48	0.51
Alcam	0.75	0.82
Robo1	0.56	0.61
Filip1l	0.55	0.37
Ydjc	0.16	0.1
Bbx	0.55	0.45
Hspbap1	0.26	0.14
Tbc1d5	0.62	0.51
Wdr27	0.22	0.18
Tapbp	0.18	0.11
Wdr90	0.14	0.1
Cramp1	0.21	0.14
Tcp1	0.25	0.13
Lpin2	0.24	0.26
Stk38	0.13	0.09
Yipf4	0.26	0.13
Fam120b	0.22	0.22
Gm11110	0.25	0.18
Lrpprc	0.23	0.24
Map3k4	0.3	0.24
Akap8l	0.19	0.11
Crem	0.67	0.26
Pde6a	0.22	0.19
4930471G03Rik	0.2	0.18
Pcdhb21	0.6	0.37
Spink5	0.6	0.69
Ccdc68	0.53	0.49
Mtpap	0.48	0.32
Hdhd2	0.29	0.21
Me2	0.28	0.32
Pcdhgb6	0.42	0.16
1700034E13Rik	0.49	0.74
Wdr33	0.28	0.16
Ccbe1	0.34	0.39
Ankhd1	0.21	0.13
Etf1	0.17	0.13
Mpp7	0.65	0.4
Dpysl3	0.38	0.8
Atg12	0.32	0.17
Cep192	0.25	0.16
Cd226	0.74	0.67
Cpeb3	0.24	0.14
Il33	0.28	0.25
Pcx	0.19	0.18
Hells	0.4	0.22
Smarca2	0.33	0.74
Cyp26a1	0.25	0.25
Zfp91	0.68	0.31
Nolc1	0.15	0.11
Mrpl49	0.14	0.11
Tcf7l2	0.21	0.31
Abcc2	0.22	0.16
Glis3	0.24	0.28
Stx3	0.52	0.24
Acsl5	0.23	0.31
Pcgf6	0.17	0.11
Slc3a2	0.18	0.11
Prune2	0.58	0.42
Ms4a7	0.5	0.48
Papss2	0.3	0.27
Stambpl1	0.69	0.64
Vti1a	0.23	0.33
Rbm20	0.19	0.2
Patl1	0.47	0.17
