chr	start	end	genename	width
chr2	19199302	19310241	Armc3	110940
chr13	30136489	30246717	Mboat1	110229
chr8	61928087	62038244	Ddx60	110158
chr11	30771726	30880361	Psme4	108636
chrX	143285674	143394262	Chrdl1	108589
chr5	43993620	44102032	Prom1	108413
chr13	51685529	51793747	Sema4d	108219
chr3	90104132	90212048	Nup210l	107917
chrX	160390690	160498070	Adgrg2	107381
chr9	122572499	122679596	9530059O14Rik	107098
chr15	7090614	7197489	Lifr	106876
chr18	36559987	36665917	Ankhd1	105931
chr6	3498382	3603531	Vps50	105150
chr10	84622292	84727178	Polr3b	104887
chr1	36140027	36244305	Uggt1	104279
chr1	119545037	119649000	Epb41l5	103964
chrX	164269371	164373011	Pir	103641
chr18	31804090	31907397	Wdr33	103308
chr2	10153571	10256529	Itih5	102959
chr2	120629121	120731895	Stard9	102775
chr2	14229392	14332057	Mrc1	102666
chr12	70011435	70113717	Nin	102283
chr3	35754134	35856276	Atp11b	102143
chrX	13071498	13173328	Usp9x	101831
chr13	103818787	103920514	Erbin	101728
chr2	22774094	22875653	Apbb1ip	101560
chr9	70678997	70780229	Adam10	101233
chr3	155093434	155194280	Lrriq3	100847
chr18	37742094	37841873	Pcdhgb6	99780
chr3	159839672	159938664	Wls	98993
chr16	94370618	94469343	Ttc3	98726
chr14	77904239	78002657	Epsti1	98419
chr3	123267455	123365641	Sec24d	98187
chr1	58997116	59094900	C2cd6	97785
chrX	108737016	108834372	Brwd3	97357
chrX	160502166	160598878	Phka2	96713
chr2	109917647	110014257	Lgr4	96611
chr15	91838265	91934555	Smgc	96291
chr11	4345814	4441105	Hormad2	95292
chr18	89176967	89272229	Cd226	95263
chr5	34660379	34755305	Grk4	94927
chr5	76209868	76304792	Clock	94925
chr13	17710315	17805097	Cdk13	94783
chr11	119393100	119487418	Rnf213	94319
chr9	95857597	95951781	Atr	94185
chr2	91526762	91620664	Ckap5	93903
chr14	57424062	57517936	Ift88	93875
chr5	144264526	144358112	Baiap2l1	93587
chr12	75308322	75401456	Rhoj	93135
chr1	64029447	64122282	Klf7	92836
chr8	41239752	41332344	Pcm1	92593
chr5	65605721	65698273	Pds5a	92553
chr5	144768092	144859778	Trrap	91687
chr1	165485183	165576774	Adcy10	91592
chr10	76351263	76442786	Pcnt	91524
chr10	44437177	44528501	Prdm1	91325
chr17	12227621	12318796	Map3k4	91176
chr11	41910203	42000857	Gabrg2	90655
chr12	69803750	69893200	Map4k5	89451
chr2	158409848	158499253	Ralgapb	89406
chr7	68273839	68363092	Fam169b	89254
chr13	48879219	48968017	Fam120a	88799
chr3	19223108	19311322	Pde7a	88215
chr10	100487558	100574840	Cep290	87283
chr14	45133465	45220328	Txndc16	86864
chr8	116995679	117082449	Pkd1l2	86771
chr5	106840192	106926321	Hfm1	86130
chr13	100017994	100104070	Bdp1	86077
chr12	51743722	51829536	Hectd1	85815
chr4	132638987	132724765	Eya3	85779
chr17	84705247	84790789	Lrpprc	85543
chr18	67800107	67885170	Cep192	85064
chr1	54472994	54557684	Pgap1	84691
chr2	126791565	126876230	Trpm7	84666
chr1	52077261	52161865	Stat1	84605
chr6	136697284	136781765	Gucy2c	84482
chrX	47809368	47892974	Smarca1	83607
chr6	82946902	83030309	M1ap	83408
chr9	113963637	114046191	Fbxl2	82555
chr10	88746607	88826804	Utp20	80198
chr11	54438199	54518235	Fnip1	80037
chr7	121083249	121163097	Otoa	79849
chr3	103279293	103358775	Trim33	79483
chr12	101834043	101913267	Trip11	79225
chr10	87858265	87937042	Igf1	78778
chr4	94614491	94693229	Ift74	78739
chr5	43662346	43740972	Cc2d2a	78627
chr14	48446124	48524246	Tmem260	78123
chr1	90765923	90843971	Col6a3	78049
chr3	129677565	129755316	Egf	77752
chr4	103038065	103114555	Dnai4	76491
chr1	58029931	58106413	Aox1	76483
chr16	27849930	27926128	Gm10823	76199
chr5	32611171	32687057	Yes1	75887
chr16	90936092	91011308	Synj1	75217
chr1	127868773	127943868	Rab3gap1	75096
chr6	87458545	87533259	Arhgap25	74715
chr10	24637914	24712159	Enpp1	74246
chr1	119923341	119997234	Cfap221	73894
chr6	65042583	65116061	Smarcad1	73479
chr5	107507621	107580596	1700028K03Rik	72976
chr2	66184327	66256617	Ttc21b	72291
chr2	12347263	12419470	Mindy3	72208
chr18	3266048	3337748	Crem	71701
chr19	32595790	32667187	Papss2	71398
chr11	110025634	110095978	Abca8a	70345
chr5	23434441	23504235	Kmt2e	69795
chr5	147330741	147400489	Flt3	69749
chr18	61220315	61289924	Pde6a	69610
chr1	43933647	44003000	Tpp2	69354
chr5	20986645	21055911	Ptpn12	69267
chr2	130195194	130264445	Tmc2	69252
chr12	105616136	105685211	Atg2b	69076
chr10	110941780	111010140	Zdhhc17	68361
chr10	11149427	11217595	Shprh	68169
chr9	64185770	64253631	Map2k1	67862
chr9	122951046	123018733	Kif15	67688
chr1	71585520	71653200	Fn1	67681
chr8	95239045	95306585	Cngb1	67541
chr17	71182560	71249817	Lpin2	67258
chr1	79794197	79861180	Serpine2	66984
chr7	109893780	109960470	Dennd5a	66691
chr15	81585397	81652077	Ep300	66681
chr4	132355923	132422489	Phactr4	66567
chr9	92542223	92608428	Plod2	66206
chr9	96119362	96184608	Gk5	65247
chr2	147012996	147078000	Xrn2	65005
chr4	137593755	137658537	Usp48	64783
chr2	181763332	181827797	Myt1	64466
chr3	121952541	122016753	Arhgap29	64213
chrX	157535371	157598715	Mbtps2	63345
chr11	86694351	86757565	Cltc	63215
chr9	123529759	123592600	Sacm1l	62842
chr3	40949828	41012377	Larp1b	62550
chr2	174284320	174346744	Gnas	62425
chr7	110221711	110283506	Swap70	61796
chr6	148770683	148831467	Ipo8	60785
chr6	70844515	70905245	Eif2ak3	60731
chr9	95637601	95698096	Pcolce2	60496
chr8	119992438	120052793	Crispld2	60356
chr5	63908897	63968897	Rell1	60001
chr13	112867418	112927398	Mtrex	59981
chr18	43963235	44022501	Spink5	59267
chr14	20734875	20794088	Camk2g	59214
chr5	135187264	135246129	Baz1b	58866
chr5	33104219	33162870	Slc5a1	58652
chr2	132529082	132587729	Gpcpd1	58648
chr5	34573664	34632308	Add1	58645
chr19	43782192	43840740	Abcc2	58549
chr2	119047119	119105501	Knl1	58383
chr16	35978750	36037131	Kpna1	58382
chr2	29124181	29182471	Setx	58291
chr16	35770375	35828477	Hspbap1	58103
chr4	6396207	6454271	Nsmaf	58065
chr4	99929414	99987294	Pgm1	57881
chr14	65266618	65323973	Fbxo16	57356
chr5	124368702	124426001	Sbno1	57300
chr7	120677618	120734854	Mosmo	57237
chr5	96209493	96266727	Mrpl1	57235
chr15	82069996	82126814	Mei1	56819
chr4	94500081	94556796	Caap1	56716
chr3	27097222	27153878	Ect2	56657
chr7	134881926	134938430	Insyn2a	56505
chr4	141147913	141204062	Fbxo42	56150
chr16	87376651	87432612	Ltn1	55962
chr1	60098247	60153953	Carf	55707
chr9	95456898	95511996	U2surp	55099
chr17	24961226	25015788	Cramp1	54563
chr9	70088511	70142560	Fam81a	54050
chr7	81881251	81934473	Hdgfl3	53223
chr1	33761545	33814595	Zfp451	53051
chrX	48541625	48594504	Zfp280c	52880
chr10	121641588	121693915	D930020B18Rik	52328
chr14	75702350	75754558	Cog3	52209
chr7	130774069	130825899	Btbd16	51831
chr11	17182107	17233796	Wdr92	51690
chr6	122447296	122498761	Rimklb	51466
chr6	24613805	24665009	Wasl	51205
chr13	59585259	59635922	Naa35	50664
chr2	52691664	52742281	Stam2	50618
chr8	105413571	105464086	Lrrc36	50516
chr15	83299739	83350247	Arfgap3	50509
chr4	40804602	40854005	B4galt1	49404
chr2	126627442	126676337	Gabpb1	48896
chr8	24677225	24725852	Adam3	48628
chr4	151933691	151982137	Dnajc11	48447
chr19	34192229	34240333	Stambpl1	48105
chr11	29172890	29220797	Ppp4r3b	47908
chr10	115384959	115432772	Zfc3h1	47814
chr10	89638721	89686285	Scyl2	47565
chr7	130865756	130913312	Plekha1	47557
chr8	128685654	128733200	Itgb1	47547
chr13	38151294	38198577	Dsp	47284
chr14	20499364	20546573	Ppp3cb	47210
chr11	86210681	86257575	Ints2	46895
chr6	86426658	86473500	C87436	46843
chr13	55635027	55681256	Ddx46	46230
chr19	55251938	55297720	Acsl5	45783
chr14	121459621	121505252	Slc15a1	45632
chr18	73769903	73815449	Me2	45547
chr13	12565874	12611396	Ero1b	45523
chr4	107314363	107359823	Yipf1	45461
chr9	95705082	95750358	Trpc1	45277
chr18	76930126	76975307	Hdhd2	45182
chr9	20770050	20815067	Col5a3	45018
chr15	103453794	103498810	Nckap1l	45017
chr6	31519488	31563981	Podxl	44494
chr12	69746848	69791267	Cdkl1	44420
chr5	123528659	123573038	Vps33a	44380
chr12	101039409	101083702	Ppp4r3a	44294
chr19	11775118	11819403	Stx3	44286
chr4	34570796	34614944	Orc3	44149
chr18	69925426	69969484	Ccdc68	44059
chr7	128696441	128740495	Mcmbp	44055
chr6	71588972	71632990	Kdm3a	44019
chr6	87628424	87672193	Aplf	43770
chr9	25108132	25151820	Herpud2	43689
chr10	88885992	88929515	Slc5a8	43524
chr13	97137937	97181195	Gfm2	43259
chr4	25199908	25242876	Fhl5	42969
chrX	38533274	38576196	Cul4b	42923
chr4	88396144	88438928	Hacd4	42785
chr16	95257558	95300260	Kcnj15	42703
chr6	4600839	4643355	Casd1	42517
chr7	121034445	121076835	Mettl9	42391
chr1	54985169	55027481	Sf3b1	42313
chr1	189880492	189922363	Smyd2	41872
chr12	98628157	98669815	Spata7	41659
chr1	87803680	87845158	Sag	41479
chr15	81992523	82033862	Desi1	41340
chr5	5437827	5479143	Pttg1ip2	41317
chr15	58094044	58135082	Atad2	41039
chr2	23115606	23156024	Mastl	40419
chr5	89417522	89457898	Gc	40377
chr19	38930915	38971051	Hells	40137
chr2	3424131	3464130	Dclre1c	40000
chr14	54814141	54854108	Rnf212b	39968
chr1	172082529	172122330	Copa	39802
chr6	141971845	142011414	Gm6614	39570
chr1	139454772	139494091	Aspm	39320
chr16	35832874	35871544	Parp14	38671
chr10	93858489	93897093	Metap2	38605
chr5	66259897	66298026	Nsun7	38130
chr8	117095854	117133720	Bco1	37867
chr5	31253277	31291116	Ift172	37840
chr4	32615451	32653265	Casp8ap2	37815
chr3	103020426	103058186	Csde1	37761
chr2	154335380	154373010	Cdk5rap1	37631
chr17	15396202	15433583	Fam120b	37382
chr17	28970880	29007995	Stk38	37116
chr11	62752577	62789462	Zfp286	36886
chrX	48841466	48877713	Fsip2l	36248
chr2	128818118	128854261	Tmem87b	36144
chr3	54692807	54728766	Supt20	35960
chr2	90745370	90781021	Fnbp4	35652
chr19	29925114	29960718	Il33	35605
chr1	128243964	128279378	Ubxn4	35415
chr10	117344673	117380015	Cpsf6	35343
chr16	57121703	57156705	Tomm70a	35003
chr16	11219292	11254270	Gspt1	34979
chr5	137787798	137822621	Zcwpw1	34824
chr7	113530489	113564987	Far1os	34499
chr12	69690433	69724873	L2hgdh	34441
chr16	57036967	57071372	Tmem45a2	34406
chr11	23736847	23770970	Rel	34124
chr16	96158407	96192271	Lca5l	33865
chr2	156019139	156052947	Fer1l4	33809
chr1	44147847	44181260	Ercc5	33414
chr1	143716338	143749676	Glrx2	33339
chr6	115729131	115762410	Tmem40	33280
chr19	11912399	11945091	Patl1	32693
chr2	39194354	39226451	Ppp6c	32098
chrX	153139981	153171943	Rragb	31963
chr4	59769637	59801589	Inip	31953
chr1	153455758	153487660	Dhx9	31903
chr3	158036662	158068487	Lrrc40	31826
chr6	149157147	149188712	Amn1	31566
chr5	108518554	108550024	Cplx1	31471
chr5	8966033	8997324	Crot	31292
chr3	63933507	63964768	Slc33a1	31262
chr5	67260565	67291461	Tmem33	30897
chr3	157894248	157925077	Cth	30830
chr15	38661933	38692446	Atp6v1c1	30514
chr11	83753696	83783754	Heatr6	30059
chr9	122351608	122381524	Abhd5	29917
chr9	74861921	74891781	Onecut1	29861
chr2	62664285	62694109	Gca	29825
chr1	151428542	151458161	Trmt1l	29620
chr15	102470539	102500061	Pcbp2	29523
chr7	6252710	6282066	Epp13	29357
chr18	34902785	34932007	Etf1	29223
chr17	32321424	32350607	Akap8l	29184
chr19	12767020	12796126	Zfp91	29107
chr11	78261752	78290623	2610507B11Rik	28872
chr2	125830304	125859139	Cops2	28836
chr8	104281347	104310145	Cmtm1	28799
chr8	111003188	111031751	Ddx19b	28564
chr8	93201218	93229619	Ces1e	28402
chr4	138216296	138244683	Hp1bp3	28388
chr5	21757267	21785251	Dnajc2	27985
chr3	30644507	30672431	Lrriq4	27925
chr10	100590484	100618401	1700017N19Rik	27918
chr7	39449518	39477413	Zfp939	27896
chr13	37966605	37994217	Ssr1	27613
chr14	27481090	27508460	Ccdc66	27371
chr3	36065979	36092853	Acad9	26875
chr2	69686815	69713516	Fastkd1	26702
chr11	93859243	93885766	Utp18	26524
chr5	92284010	92310479	Sdad1	26470
chr12	69201773	69228195	Pole2	26423
chr7	92643543	92669934	Pcf11	26392
chr1	150320681	150346771	2310030A07Rik	26091
chr8	123477903	123503916	Afg3l1	26014
chr3	67374097	67400003	Mlf1	25907
chr5	8396973	8422716	Dbf4	25744
chr9	18292125	18317442	Chordc1	25318
chr5	76974683	76999937	Srp72	25255
chr3	122245557	122270732	Gclm	25176
chr4	155624854	155649938	Cdk11b	25085
chr2	121413775	121438687	Pdia3	24913
chr10	112083354	112108098	Glipr1l2	24745
chr4	34663257	34687438	Slc35a1	24182
chr8	11611583	11635757	Ankrd10	24175
chr12	8947929	8972028	Matn3	24100
chr6	30568369	30592418	Cpa4	24050
chr10	61715263	61739260	Aifm2	23998
chr11	67078300	67102291	Myh3	23992
chr3	132660481	132684370	Aimp1	23890
chr10	41490439	41514286	Ppil6	23848
chr8	104511028	104534637	Nae1	23610
chr15	3280070	3303526	Ccdc152	23457
chr11	116470845	116494202	Prpsap1	23358
chr7	29930815	29954089	Zfp74	23275
chr9	75386902	75410005	Mapk6	23104
chr2	170496428	170519123	Pfdn4	22696
chr11	75486816	75509449	Prpf8	22634
chr2	150749042	150771675	Entpd6	22634
chr9	92249750	92272278	Plscr1	22529
chr3	10417817	10440102	Snx16	22286
chr10	128567523	128589652	Erbb3	22130
chr11	59817795	59839838	Cops3	22044
chr13	97176331	97198357	Hexb	22027
chr8	109671325	109693260	Ist1	21936
chr15	76879434	76901305	Commd5	21872
chr2	163623272	163645131	Serinc3	21860
chr18	4375592	4397330	Mtpap	21739
chr4	58965439	58987119	Ptgr1	21681
chr3	67582741	67604237	Mfsd1	21497
chr8	70842049	70863258	Kcnn1	21210
chr1	66924295	66945384	Myl1	21090
chr3	106482405	106503030	Dennd2d	20626
chrX	38316184	38336769	Atp1b4	20586
chr12	31331277	31351453	Dld	20177
chr2	132846666	132866785	Crls1	20120
chr4	126024550	126044440	Csf3r	19891
chr2	25428703	25448540	Abca2	19838
chrX	74409483	74429194	G6pdx	19712
chr8	56531522	56551047	Cep44	19526
chr5	65391497	65410693	Lias	19197
chr10	79996494	80015572	Abca7	19079
chr9	69989466	70008317	Bnip2	18852
chr14	68563380	68582095	Adamdec1	18716
chr11	121237253	121255856	Narf	18604
chr10	39133976	39152542	Tube1	18567
chr5	21785283	21803787	Psmc2	18505
chr9	54586334	54604661	Idh3a	18328
chr12	105684829	105703023	Gskip	18195
chr8	111993443	112011323	Kars	17881
chr6	129766568	129784270	Klrh1	17703
chr18	52646209	52663733	1700034E13Rik	17525
chr19	47033617	47050906	Pcgf6	17290
chr11	94936224	94953042	Col1a1	16819
chr2	69211073	69227841	G6pc2	16769
chr17	25844771	25861501	Wdr90	16731
chr19	8706882	8723369	Slc3a2	16488
chr7	104218793	104235152	Trim6	16360
chr12	103980243	103996579	Serpina11	16337
chr13	100759674	100775899	Cenph	16226
chr16	17144621	17160701	Ydjc	16081
chr1	161070713	161086724	Cenpl	16012
chr3	106016919	106032814	Chil5	15896
chr15	75894205	75909556	Eef1d	15352
chr16	32084416	32099740	Pigx	15325
chr19	11321039	11336146	Ms4a7	15108
chr17	57091370	57105942	Gm11110	14573
chr2	69871198	69885615	Mettl5	14418
chr3	157534160	157548410	Zranb2	14251
chr1	130670261	130684071	C4bp-ps1	13811
chr17	33915899	33929292	Tapbp	13394
chr5	5736317	5749326	Steap1	13010
chr2	26396249	26409203	Inpp5e	12955
chrX	7573600	7586518	Flicr	12919
chr6	34384218	34396950	Akr1b10	12733
chr3	65946151	65958249	Ccnl1	12099
chr13	41001023	41013015	Pak1ip1	11993
chr3	32725397	32737147	Mrpl47	11751
chr7	120658731	120670343	Pdzd9	11613
chr18	46730144	46741580	Atg12	11437
chr17	74489493	74500277	Yipf4	10785
chr5	31240864	31251566	Nrbp1	10703
chr7	28971372	28981864	Eif3k	10493
chr9	7571396	7581885	Mmp27	10490
chr16	16707614	16718096	4933404G15Rik	10483
chr6	42587213	42597692	Tcaf3	10480
chr5	45453751	45464149	Clrn2	10399
chr9	7445822	7455975	Mmp3	10154
chr3	66971727	66981771	Shox2	10045
chr4	59905126	59915056	Slc46a2	9931
chr19	46075863	46085530	Nolc1	9668
chr11	30976707	30986350	Chac2	9644
chr3	103058285	103067914	Nras	9630
chr10	63014664	63024217	Hnrnph3	9554
chr10	76459567	76469114	Ybey	9548
chr17	12915701	12925067	Tcp1	9367
chr5	87885029	87894174	Odam	9146
chr13	27633366	27642493	Prl7a1	9128
chr5	93267257	93276231	Ccng2	8975
chr3	108902805	108911727	Prpf38b	8923
chr6	129091998	129100913	Clec2e	8916
chr12	111538016	111546752	Eif5	8737
chr5	135980099	135988624	Zp3	8526
chr3	87922601	87930717	Rrnad1	8117
chr6	129267325	129275436	Cd69	8112
chr1	94020451	94028334	Neu4	7884
chr1	74593748	74601397	Rnf25	7650
chr9	26999710	27007336	Thyn1	7627
chr1	130932656	130940115	Il19	7460
chr9	67102300	67109601	Gm10646	7302
chrX	38189793	38197046	Zbtb33	7254
chr7	79735957	79743131	Pex11a	7175
chr11	106256154	106263120	Psmc5	6967
chr5	146948657	146955614	Gtf3a	6958
chrX	93968659	93975470	AU015836	6812
chr3	61361638	61368430	Rap2b	6793
chr6	72432799	72439558	Mat2a	6760
chr2	129364570	129371139	Il1b	6570
chrX	107397099	107403376	Itm2a	6278
chr1	171281945	171287991	Usp21	6047
chr5	100798627	100804471	Mrps18c	5845
chrX	56543874	56549606	Gm648	5733
chr2	164588343	164593594	Eppin	5252
chr8	57482707	57487860	Sap30	5154
chr12	80945504	80950507	Srsf5	5004
chr4	150997097	151001810	Uts2	4714
chr18	37513621	37518325	Pcdhb21	4705
chr9	85842380	85847040	Tpbg	4661
chr16	8633229	8637712	Tmem186	4484
chr10	99263231	99267489	Dusp6	4259
chr1	135371057	135375237	Shisa4	4181
chr19	6053622	6057785	Mrpl49	4164
chr11	99385254	99389364	Krt10	4111
chr12	54858809	54862877	Cfl2	4069
chr18	36106194	36109977	4930471G03Rik	3784
chr19	37697798	37701536	Cyp26a1	3739
chr2	85136225	85139923	Aplnr	3699
chr14	55587441	55591113	Psme2	3673
chr4	117884326	117887333	Atp6v0b	3008
chr11	53427922	53430831	Uqcrq	2910
chr14	66868850	66871723	Gm5464	2874
chr11	101665541	101667832	Arl4d	2292
chr13	51846678	51848468	Gadd45g	1791
chr4	86575668	86577285	Rraga	1618
chr1	31222838	31224288	Dnaaf6	1451
chr7	104587719	104588874	Olfr654	1156
chr11	100478411	100478480	Mir7116	70
chr7	3218638	3218695	Mir290b	58
